Title,RatingTomatometer,Genres
Black Panther (2018),97,action|adventure
Mad Max: Fury Road (2015),97,action|adventure
Wonder Woman (2017),93,action|adventure
Metropolis (1927),99,action|adventure
Coco (2017),97,action|adventure
Dunkirk (2017),92,action|adventure
Incredibles 2 (2018),94,action|adventure
Star Wars: The Last Jedi (2017),91,action|adventure
Logan (2017),93,action|adventure
Star Wars: Episode VII - The Force Awakens (2015),93,action|adventure
King Kong (1933),98,action|adventure
The Adventures of Robin Hood (1938),100,action|adventure
Thor: Ragnarok (2017),92,action|adventure
Baby Driver (2017),93,action|adventure
Zootopia (2016),97,action|adventure
Seven Samurai (Shichinin no Samurai) (1956),100,action|adventure
Spider-Man: Homecoming (2017),92,action|adventure
Up (2009),98,action|adventure
The Jungle Book (2016),95,action|adventure
War for the Planet of the Apes (2017),93,action|adventure
The Treasure of the Sierra Madre (1948),100,action|adventure
Lawrence of Arabia (1962),98,action|adventure
The Dark Knight (2008),94,action|adventure
Captain America: Civil War (2016),91,action|adventure
Jaws (1975),97,action|adventure
Harry Potter and the Deathly Hallows - Part 2 (2011),96,action|adventure
The Hurt Locker (2009),97,action|adventure
Aliens (1986),99,action|adventure
The LEGO Movie (2014),96,action|adventure
Skyfall (2012),92,action|adventure
Ant-Man and the Wasp (2018),88,action|adventure
Star Wars: Episode IV - A New Hope (1977),93,action|adventure
WALL-E (2008),96,action|adventure
Moana (2016),95,action|adventure
The Searchers (1956),100,action|adventure
Star Trek (2009),94,action|adventure
Kubo and the Two Strings (2016),97,action|adventure
The 39 Steps (1935),96,action|adventure
Rio Bravo (1959),100,action|adventure
The Terminator (1984),100,action|adventure
Mission: Impossible Rogue Nation (2015),93,action|adventure
Marvel's The Avengers (2012),92,action|adventure
The African Queen (1951),98,action|adventure
Star Wars: Episode V - The Empire Strikes Back (1980),95,action|adventure
Once Upon a Time in the West (1968),98,action|adventure
Apocalypse Now (1979),96,action|adventure
Blade Runner 2049 (2017),87,action|adventure
The French Connection (1971),98,action|adventure
True Grit (2010),96,action|adventure
Isle of Dogs (2018),89,action|adventure
Throne of Blood (1957),98,action|adventure
"Aguirre, the Wrath of God (Aguirre, der Zorn Gottes) (1972)",98,action|adventure
Badlands (1974),98,action|adventure
Avengers: Infinity War (2018),84,action|adventure
Yellow Submarine (1968),97,action|adventure
Guardians of the Galaxy (2014),91,action|adventure
Iron Man (2008),93,action|adventure
Chicken Run (2000),97,action|adventure
Spartacus (1960),96,action|adventure
The Princess Bride (1987),97,action|adventure
Hunt for the Wilderpeople (2016),96,action|adventure
Ghostbusters (1984 Original) (1984),97,action|adventure
Goldfinger (1964),97,action|adventure
Paths of Glory (1957),95,action|adventure
Casino Royale (2006),94,action|adventure
All Is Lost (2013),94,action|adventure
Ran (1985),96,action|adventure
The Lego Batman Movie (2017),90,action|adventure
Doctor Strange (2016),89,action|adventure
A Fistful of Dollars (Per un Pugno di Dollari) (1964),98,action|adventure
Assault on Precinct 13 (1976),98,action|adventure
X-Men: Days of Future Past (2014),90,action|adventure
No Country for Old Men (2007),93,action|adventure
The Lord of the Rings: The Two Towers (2002),95,action|adventure
Looper (2012),93,action|adventure
Back to the Future (1985),96,action|adventure
The Right Stuff (1983),98,action|adventure
Gojira (1956),93,action|adventure
"Crouching Tiger, Hidden Dragon (2001)",97,action|adventure
The Fugitive (1993),96,action|adventure
